ACC,PRE,REC,F1,Loss
0.7252650176678446,0.7098410087719298,0.6961646892202448,0.6588024010691294,0.655823272963365
0.726148409893993,0.6766085845840447,0.6398831792350311,0.6408930230321227,0.6619506412082248
0.7234982332155477,0.6849601500679324,0.6759815972778936,0.6523624932302822,0.6726221806473203
0.7367491166077739,0.6672641077035689,0.6574174282507615,0.6718829973754996,0.6613240357902315
0.6157243816254417,0.591795703401778,0.5008840610692462,0.47150370109620493,0.8292815238237381
0.6024734982332155,0.6063626260220688,0.4826516932998414,0.4492745665899546,0.8496807151370578
0.5892226148409894,0.7400322190898107,0.509873870984982,0.4265889770358293,0.8717342830366559
0.627208480565371,0.631562809099901,0.5705278089537349,0.4929267180562453,0.8281048420402739
0.9991166077738516,0.787480067248234,0.7980432633210411,0.9987389913113426,0.007180658796439982
1.0,0.8028856192835345,0.796011258974222,1.0,0.00638927759266355
0.9982332155477032,0.7800671837160721,0.791872650668947,0.9974788326001608,0.008101430404672606
0.9991166077738516,0.7853489156346298,0.7852744820337413,0.9987389913113426,0.0063615150607397985
0.9823321554770318,0.7935207780725021,0.8045178415548785,0.9792684583978782,0.06455235933471057
0.9876325088339223,0.7879996794376982,0.7941841252026437,0.9855531533307781,0.0562564913286931
0.9867491166077739,0.8029950677069321,0.8125111342703936,0.9833712150802524,0.05703092164670428
0.9920494699646644,0.7993631945866152,0.8070286195286195,0.9902186728368964,0.05593466396547026
0.8860424028268551,0.8079342616036463,0.8157912903283274,0.8639705720287386,0.3351309560239315
0.8886925795053003,0.7869969378827647,0.7912268629861222,0.8663410063779864,0.3264748325778378
0.9001766784452296,0.7718930166023669,0.7813207026169989,0.876859207010579,0.3027321820457776
0.8869257950530035,0.8004468014508176,0.7946584451214082,0.8660992035159415,0.32489510211679673
